NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
96.0,200400227,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT,CASH FLOW MANAGEMENT SENIOR OFFICER,0.986,0.9125,0.0,0.9749749999999999,1.0911111111111111,1.0
97.0,200700295,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT,FINANCE & ACCOUNTING SENIOR OFFICER,0.98,0.94375,0.0,0.9745625,1.077777777777778,1.0
98.0,201801071,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,FINANCE & ACCOUNTING OPERATION HOLDING & HSI DEPARTMENT,REPORT & TAX OFFICER,0.983,0.9484375,0.01,0.987815625,1.017777777777778,1.0
100.0,200800349,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,FINANCE OPERATION DEVCON DIVISION,"DEPUTY CORPORATE FINANCE, ACCOUNTING & TAX DIVISION HEAD",0.903,1.0,0.03,0.94755,1.1777777777777778,1.0
101.0,199500055,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,FINANCE OPERATION OTO DIVISION,FINANCE OPERATION DIVISION HEAD,0.957,0.9671875,0.035,0.993528125,1.0933333333333335,1.0
102.0,200400210,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT","PJS. GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT HEAD",0.982,0.9125,0.01,0.981575,1.051111111111111,1.0
103.0,201000396,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT","GA, HSE, PURCHASING & SECRETARY HOLDING ASSOCIATES",0.99,0.9989583333333334,0.01,1.00134375,1.0533333333333335,1.0
104.0,200600264,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT","GA, HSE, PURCHASING & SECRETARY HOLDING ASSOCIATES",0.973,0.9989583333333334,0.01,0.9868937499999999,1.0155555555555555,1.0
105.0,201800884,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT",HSE & PURCHASING SENIOR ANALYST,0.973,0.9552083333333332,0.0,0.9703312499999999,0.9866666666666668,1.0
106.0,201890004,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT",SUPPORTING (OFFICE BOY),1.0,0.959375,0.0,0.99390625,1.0142857142857142,0.0
107.0,201990009,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,"GA, HSE, PURCHASING & SECRETARY HOLDING DEPARTMENT",SUPPORTING (OFFICE GIRL),0.9,0.9359375,0.0,0.905390625,0.9657142857142857,0.0
108.0,201400556,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,GENERAL COUNSEL DIVISION,GENERAL COUNSEL DIVISION HEAD,0.994,0.9421875,0.01,0.996228125,1.0622222222222222,1.0
109.0,200800305,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,GOOD CORPORATE GOVERNANCE DEPARTMENT,GOOD CORPORATE GOVERNANCE SENIOR ASSOCIATES,1.0,0.9020833333333332,0.015,1.0003125,1.0666666666666667,1.0
110.0,200800314,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,GOOD CORPORATE GOVERNANCE DEPARTMENT,GOOD CORPORATE GOVERNANCE SENIOR ANALYST,1.0,0.9895833333333334,0.02,1.0184374999999999,1.1111111111111112,1.0
111.0,201100393,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES & TALENT MANAGEMENT DIVISION HEAD,0.979,0.91875,0.035,1.0049625,1.037777777777778,1.0
112.0,201000464,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,PJS. HC SHARED SERVICES DEPARTMENT HEAD,0.956,0.8203125,0.04,0.975646875,0.9777777777777777,1.0
113.0,202003815,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES ASSOCIATES,0.966,1.0,0.015,0.9861,1.0933333333333335,1.0
114.0,201100374,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES ASSOCIATES,0.955,0.9484375,0.01,0.9640156249999999,1.0,1.0
115.0,201902989,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,,0.946,0.9130208333333334,0.01,0.9510531249999999,1.0,1.0
116.0,201500621,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES SENIOR ANALYST,0.964,0.9802083333333332,0.015,0.9814312499999999,1.0422222222222222,1.0
117.0,201600884,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES SENIOR ANALYST,0.961,0.9713541666666666,0.015,0.9775531249999999,1.0,1.0
118.0,201902995,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES SENIOR ANALYST,0.967,0.990625,0.01,0.9805437499999999,1.008888888888889,1.0
119.0,201903358,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,PJS. HC SHARED SERVICES SENIOR ANALYST,0.994,1.0,0.005,0.9999,1.0829,1.0
120.0,202104152,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES ANALYST,0.967,,0.0,-,-,0.0
121.0,202104153,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,HC SHARED SERVICES DEPARTMENT,HC SHARED SERVICES ANALYST,0.967,,0.0,-,-,0.0
122.0,200400228,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT & RISK MANAGEMENT DIVISION,INTERNAL AUDIT & RISK MANAGEMENT DIVISION HEAD,0.97,0.9359375,0.01,0.960625,1.0666666666666667,1.0
123.0,201903575,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,DEVCON INTERNAL AUDIT DEPARTMENT HEAD,0.957,0.98125,0.02,0.9806374999999999,1.1311111111111112,1.0
124.0,200800302,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. INTERNAL AUDIT OTO DEPARTEMENT HEAD,0.95,0.9541666666666666,0.01,0.960625,1.1533333333333333,1.0
125.0,201700735,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.956,0.7833333333333334,0.01,0.9401,1.0355555555555556,1.0
126.0,201801068,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.976,0.8541666666666666,0.01,0.967725,1.0288888888888887,1.0
127.0,201801027,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.975,1.0,0.015,0.99375,1.1777777777777778,1.0
128.0,200800304,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.974,0.9109375,0.01,0.9745406249999999,1.017777777777778,1.0
129.0,201700736,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.976,0.7875,0.01,0.957725,1.0444444444444445,1.0
130.0,201801024,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.972,0.9484375,0.015,0.9834656249999999,1.017777777777778,1.0
131.0,201100383,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.971,0.803125,0.01,0.9558187499999999,1.0777777777777777,1.0
132.0,201801025,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.984,0.9979166666666668,0.01,0.9960874999999999,1.1755555555555557,1.0
133.0,201801065,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT OFFICER,0.969,0.8333333333333334,0.01,0.95865,1.0733333333333333,1.0
134.0,200800301,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT SENIOR OFFICER,0.98,0.9989583333333334,0.015,0.99784375,1.1777777777777778,1.0
135.0,201200415,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT SENIOR OFFICER,0.962,0.8161458333333333,0.01,0.950121875,1.1311111111111114,1.0
136.0,201400580,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT SENIOR OFFICER,0.972,0.9520833333333334,0.015,0.9840125,1.0533333333333335,1.0
137.0,201400563,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT SENIOR OFFICER,0.97,0.8807291666666666,0.01,0.966609375,1.1222222222222222,1.0
138.0,201801066,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT SENIOR OFFICER,0.971,0.9489583333333332,0.01,0.9776937499999999,1.1111111111111112,1.0
139.0,200300207,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,MONITORING & FOLLOW UP SENIOR OFFICER,0.994,0.8687499999999999,0.02,0.9952124999999999,1.017777777777778,1.0
140.0,201700867,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. INTERNAL AUDIT OFFICER,0.953,0.9661458333333334,0.0,0.9549718749999999,1.011111111111111,1.0
141.0,201700739,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. INTERNAL AUDIT OFFICER,0.955,0.9307291666666668,0.01,0.961359375,0.9800000000000001,1.0
142.0,201500655,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. INTERNAL AUDIT OFFICER,0.969,0.99,0.01,0.98215,1.0,1.0
143.0,201903236,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. INTERNAL AUDIT OFFICER,0.962,0.9296875,0.01,0.967153125,1.1688888888888889,1.0
144.0,201700687,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,PJS. MONITORING & FOLLOW UP SENIOR OFFICER,0.986,0.9484375,0.01,0.9903656249999999,1.017777777777778,1.0
145.0,201801063,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,TECHNICAL AUDIT ASSOCIATES,0.99,1.0,0.01,1.0015,1.1755555555555557,1.0
146.0,202104130,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT JUNIOR OFFICER,0.962,0.5973958333333335,0.0,0.907309375,0.9571428571428571,1.0
147.0,202104094,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT JUNIOR OFFICER,0.952,0.646875,0.0,0.9062312499999999,0.9485714285714285,1.0
148.0,202104058,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT JUNIOR OFFICER,0.973,1.0,0.0,0.97705,1.1714285714285715,1.0
149.0,202104093,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 14,INTERNAL AUDIT DEPARTMENT,INTERNAL AUDIT JUNIOR OFFICER,0.971,0.8223958333333333,0.01,0.958709375,1.0114285714285716,1.0
150.0,201000333,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE COKRO LT. 2,KNOWLEDGE MANAGEMENT DEPARTMENT,KNOWLEDGE MANAGEMENT DEPARTMENT HEAD,0.994,0.9515625,0.045,1.032634375,1.0244444444444445,1.0
151.0,201300544,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,KNOWLEDGE MANAGEMENT DEPARTMENT,KNOWLEDGE MANAGEMENT ASSOCIATES,0.998,0.975,0.025,1.01955,1.048888888888889,1.0
152.0,201801070,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,KNOWLEDGE MANAGEMENT DEPARTMENT,KNOWLEDGE MANAGEMENT SENIOR ANALYST,1.0,0.9604166666666668,0.035,1.0290625,1.0711111111111111,1.0
153.0,201000350,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE COKRO LT. 2,KNOWLEDGE MANAGEMENT DEPARTMENT,KNOWLEDGE MANAGEMENT SENIOR ANALYST,0.942,0.7536458333333333,0.025,0.938746875,0.9133333333333333,1.0
154.0,202104025,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE COKRO LT. 2,KNOWLEDGE MANAGEMENT DEPARTMENT,KNOWLEDGE MANAGEMENT ANALYST,1.0,0.9333333333333336,0.015,1.005,1.0685714285714287,1.0
155.0,201100382,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE COKRO LT. 2,LEARNING & DEVELOPMENT DIVISION,LEARNING & DEVELOPMENT DIVISION HEAD,0.992,0.9109375,0.01,0.989840625,0.971111111111111,1.0
156.0,201000331,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING & CORPORATE COMMUNICATION DIVISION,PJS. MARKETING & CORPORATE COMMUNICATION DIVISION HEAD,0.99,0.94375,0.01,0.9930625,1.031111111111111,1.0
157.0,201000338,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT HEAD,0.996,0.9609375,0.04,1.030740625,1.08,1.0
158.0,201300486,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT ASSOCIATES,0.996,0.9671875,0.03,1.021678125,1.097777777777778,1.0
159.0,201500598,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT ASSOCIATES,0.995,0.9598958333333334,0.035,1.024734375,1.1022222222222222,1.0
160.0,202003944,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT SENIOR ANALYST,0.99,0.91875,0.025,1.0043125,1.0,1.0
161.0,201701004,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT SENIOR ANALYST,0.98,0.9458333333333332,0.04,1.014875,1.0422222222222222,1.0
162.0,201903094,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,MARKETING RESEARCH & CUSTOMER INSIGHT DEPARTMENT,MARKETING RESEARCH & CUSTOMER INSIGHT SENIOR ANALYST,0.994,0.85,0.04,1.0124,1.0333333333333332,1.0
163.0,199900162,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,NON-GO ACCOUNTING DEPARTMENT,NON-GO ACCOUNTING DEPARTMENT HEAD,1.0,0.9713541666666666,0.005,1.0007031249999998,1.0466666666666669,1.0
164.0,201500619,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,NON-GO ACCOUNTING DEPARTMENT,PJS. NON-GO ACCOUNTING OFFICER,0.987,0.9354166666666668,0.0,0.9792624999999999,1.0,1.0
165.0,200800313,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PEOPLE STRATEGY & POLICY DIVISION HEAD,0.969,0.9208333333333332,0.0,0.961775,1.0422222222222222,1.0
166.0,201300554,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PEOPLE STRATEGY & POLICY SPECIALIST,0.965,0.9958333333333332,0.005,0.974625,1.1533333333333333,1.0
167.0,201500727,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PJS. PEOPLE STRATEGY & POLICY SENIOR ASSOCIATES,0.981,0.8739583333333333,0.01,0.97494375,1.0644444444444443,1.0
168.0,201200423,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PJS. PEOPLE STRATEGY & POLICY SENIOR ASSOCIATES,0.981,0.9895833333333334,0.035,1.0172875,1.1311111111111112,1.0
169.0,201700697,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PEOPLE STRATEGY & POLICY ASSOCIATES,0.987,0.9427083333333334,0.0,0.98035625,1.1777777777777778,1.0
170.0,201801075,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,PEOPLE STRATEGY & POLICY DIVISION,PEOPLE STRATEGY & POLICY SENIOR ANALYST,0.981,0.9864583333333332,0.02,1.00181875,1.1577777777777778,1.0
171.0,201200414,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 14,PROCUREMENT & ASSET STANDARDIZATION DIVISION,PROCUREMENT & ASSET STANDARDIZATION DIVISION HEAD,1.0,0.9666666666666666,0.02,1.015,1.0555555555555556,1.0
172.0,201200456,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY CONSOLIDATION DEPARTMENT,PJS. QUALITY SYSTEM GROUP OPERATION OTO SENIOR ASSOCIATES,0.998,0.9869791666666669,0.03,1.026346875,1.1644444444444444,1.0
173.0,201000371,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY CONSOLIDATION DEPARTMENT,QUALITY CONSOLIDATION DEPARTMENT HEAD,0.998,0.9083333333333332,0.03,1.0145499999999998,0.9933333333333334,1.0
174.0,202003820,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY CONSOLIDATION DEPARTMENT,QUALITY SYSTEM GROUP OPERATION DEVCON ASSOCIATES,0.999,0.9765625,0.01,1.0056343749999999,1.12,1.0
175.0,201300548,PT. HADJI KALLA (HOLDING),STRATEGIC LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM & SUPPLY CHAIN MANAGEMENT DIVISION,QUALITY SYSTEM & SUPPLY CHAIN MANAGEMENT DIVISION HEAD,0.998,0.8265625000000001,0.025,0.997284375,1.1155555555555556,1.0
176.0,201600668,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM DEPARTMENT HEAD,0.997,0.9885416666666668,0.03,1.02573125,1.0866666666666667,1.0
177.0,201400581,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM ASSOCIATES,0.997,0.915625,0.015,0.9997937499999999,1.1111111111111112,1.0
178.0,201902985,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM SENIOR ANALYST,0.997,0.8963541666666666,0.015,0.9969031249999999,1.0733333333333333,1.0
179.0,201903088,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM SENIOR ANALYST,0.997,0.9703125,0.025,1.017996875,1.1377777777777778,1.0
180.0,201903197,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM SENIOR ANALYST,0.997,0.9015625,0.025,1.007684375,1.0644444444444443,1.0
181.0,202104146,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM ANALYST,0.997,,0.0,-,-,0.9
182.0,202104150,PT. HADJI KALLA (HOLDING),STAFF/OPERATOR,HEAD OFFICE WISMA KALLA LT. 13,QUALITY SYSTEM DEPARTMENT,QUALITY SYSTEM ANALYST,0.997,,0.0,-,-,0.53
183.0,201500622,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,RISK MANAGEMENT DEPARTMENT,RISK MANAGEMENT DEPARTMENT HEAD,0.997,0.9958333333333332,0.015,1.011825,1.1777777777777778,1.0
184.0,201902914,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,RISK MANAGEMENT DEPARTMENT,RISK MANAGEMENT OFFICER,0.987,0.8083333333333333,0.015,0.9752,1.0355555555555556,1.0
185.0,201801094,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,RISK MANAGEMENT DEPARTMENT,RISK MANAGEMENT OFFICER,1.0,0.8328125000000001,0.02,0.994921875,1.0,1.0
186.0,201700744,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 14,RISK MANAGEMENT DEPARTMENT,RISK MANAGEMENT SENIOR OFFICER,0.998,0.7697916666666667,0.01,0.97376875,1.0133333333333334,1.0
187.0,200200190,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,DATA & APPLICATION SOLUTION DEPARTMENT HEAD,1.0,0.9453125,0.03,1.021796875,1.048888888888889,1.0
188.0,201000380,PT. HADJI KALLA (HOLDING),OPERATIONAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,PJS. SOLUTION DELIVERY DEPARTMENT HEAD,0.996,0.96875,0.01,1.0019125,1.0533333333333335,1.0
189.0,200100162,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,SOLUTION DELIVERY ASSOCIATES,0.998,0.940625,0.01,0.99939375,1.1644444444444444,1.0
190.0,201200462,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,SOLUTION DELIVERY ASSOCIATES,0.998,0.9802083333333332,0.01,1.00533125,1.1066666666666667,1.0
191.0,201700705,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,SOLUTION DELIVERY SENIOR ANALYST,0.998,0.8901041666666667,0.025,1.006815625,1.1577777777777778,1.0
192.0,201903199,PT. HADJI KALLA (HOLDING),TECHNICAL LEADERS,HEAD OFFICE WISMA KALLA LT. 3,SOLUTION DELIVERY DEPARTMENT,SOLUTION DELIVERY SENIOR ANALYST,0.998,0.9619791666666668,0.025,1.017596875,1.0466666666666664,1.0
